Sl. No.,crop_name,variety,2023-24,2022-23,2021-22,Absolute increase in 2023-24 over 2022-23,Absolute Increase in 2023-24 over 2021-22
1,Paddy,Common,2183,2040,1940,143,243
2,Paddy,Grade A,2203,2060,1960,143,243
3,Jowar,Hybrid,3180,2970,2738,210,442
4,Jowar,Maldandi,3225,2990,2758,235,467
5,Bajra,NA,2500,2350,2250,150,250
6,Ragi,NA,3846,3578,3377,268,469
7,Maize,NA,2090,1962,1870,128,220
8,Tur (Arhar),NA,7000,6600,6300,400,700
9,Moong,NA,8558,7755,7275,803,1283
10,Urad,NA,6950,6600,6300,350,650
11,Cotton,Medium Staple,6620,6080,5726,540,354
12,Cotton,Long Staple,7020,6380,6025,640,995
13,Groundnut,NA,6377,5850,5550,527,827
14,Sunflower Seed,NA,6760,6400,6015,360,745
15,Soyabean,NA,4600,4300,3950,300,650
16,Sesamum,NA,8635,7830,7307,805,1328
17,Nigerseed,NA,7734,7287,6930,447,804
